epoch,generator_loss,discriminator_loss
1,1.354047,0.519985
2,1.414465,0.567484
3,1.322451,0.593686
4,1.141236,0.630329
5,1.07036,0.642821
6,1.07222,0.643988
7,1.037244,0.645262
8,1.000193,0.650172
9,0.963403,0.657596
10,0.963035,0.658191
11,0.977674,0.658386
12,0.92648,0.664917
13,0.912496,0.664694
14,0.887706,0.671136
15,0.887634,0.670274
16,0.881344,0.67185
17,0.884325,0.670124
18,0.887999,0.668269
19,0.887922,0.670939
20,0.856961,0.672326
21,0.845748,0.675543
22,0.854117,0.673338
23,0.849014,0.676769
24,0.842399,0.677171
25,0.818318,0.679895
26,0.81785,0.678722
27,0.820565,0.679584
28,0.818655,0.680407
29,0.813853,0.680448
30,0.808186,0.681391
